"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","C_Polarized","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"D1","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1","1","Conn_01x15 (esp left side)","","","","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical",""
"J2","1","Conn_01x15 (esp right side)","","","","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical",""
"J3","1","gyro (MPU6050)","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"J4","1","amplifier bottom(MAX98357A)","","","","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
"J5","1","ir sensor (TCRT5000)","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"J6","1","fan","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"J7","1","Conn_01x04","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"J8","1","5v booster left","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"J9","1","5v booster right","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"J10","1","TP4056  right","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"J11","1","Conn_01x03","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"J12","1","(battery)","","","","Battery:BatteryHolder_Keystone_1042_1x18650",""
"J13","1","amplifier top MAX98357A","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"J14","1","12v booster left","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"J15","1","12v booster right","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"Q1","1","Q_NMOS_GDS","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"R1","1","100","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3","1","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"U1","1","LM1117T-2.5","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
